name,full_name,stars,forks,watchers,open_issues,size,has_wiki,has_projects,has_downloads,is_fork,archived,created_at,updated_at,pushed_at,language,license,subscribers_count,contributors_count,commits_count,readme_size
lux,iawia002/lux,29282,3125,29282,521,2549,0,0,1,0,0,2018-02-24T11:29:03Z,2025-05-04T06:39:04Z,2025-04-16T21:50:38Z,Go,mit,30,30,30,34135
it-tools,CorentinTh/it-tools,29272,3487,29272,686,13082,1,1,1,0,0,2020-04-05T11:50:24Z,2025-05-04T06:24:02Z,2025-04-30T22:34:30Z,Vue,gpl-3.0,30,30,30,5082
xyflow,xyflow/xyflow,29256,1904,29256,101,38739,0,1,1,0,0,2019-07-15T14:47:30Z,2025-05-04T07:06:41Z,2025-04-30T19:13:49Z,TypeScript,mit,30,30,30,5669
docsify,docsifyjs/docsify,29228,5734,29228,183,30714,1,1,1,0,0,2016-11-20T07:55:43Z,2025-05-04T06:57:53Z,2025-04-30T12:34:15Z,JavaScript,mit,30,30,30,3888
es6features,lukehoban/es6features,29213,2858,29213,39,199,0,1,1,0,0,2014-03-03T18:29:30Z,2025-05-03T10:57:24Z,2023-01-27T13:36:18Z,,mit,30,30,30,19447
surrealdb,surrealdb/surrealdb,29194,983,29194,771,33421,0,1,1,0,0,2021-12-09T15:03:29Z,2025-05-04T07:01:59Z,2025-05-04T00:59:03Z,Rust,other,30,30,30,27294
UTM,utmapp/UTM,29188,1441,29188,908,49945,0,1,1,0,0,2019-04-12T16:09:24Z,2025-05-04T07:08:40Z,2025-04-08T04:55:14Z,Swift,apache-2.0,30,30,30,3763
weekly,ascoders/weekly,29143,3250,29143,2,8812,1,1,1,0,0,2017-03-20T06:10:04Z,2025-05-04T06:52:47Z,2024-09-09T01:39:37Z,JavaScript,,30,30,30,52842
Retrieval-based-Voice-Conversion-WebUI,RVC-Project/Retrieval-based-Voice-Conversion-WebUI,29096,4086,29096,570,14585,1,1,1,0,0,2023-03-27T09:59:10Z,2025-05-04T04:49:00Z,2024-11-24T15:09:44Z,Python,mit,30,30,30,8914
COVID-19,CSSEGISandData/COVID-19,29089,18305,29089,1961,8698144,1,1,1,0,1,2020-02-04T22:03:53Z,2025-05-03T21:10:13Z,2023-06-10T18:39:00Z,,,30,7,30,29274
django-rest-framework,encode/django-rest-framework,29083,6928,29083,88,55460,0,0,1,0,0,2011-03-02T17:13:56Z,2025-05-04T06:52:24Z,2025-05-01T12:44:34Z,Python,other,30,30,30,9375
canal,alibaba/canal,29044,7661,29044,1197,24135,1,1,1,0,0,2013-01-13T10:59:52Z,2025-05-02T01:15:16Z,2025-03-19T07:51:32Z,Java,apache-2.0,30,30,30,7373
css-protips,AllThingsSmitty/css-protips,29033,2198,29033,5,7327,1,1,1,0,0,2015-08-29T12:29:03Z,2025-05-04T06:21:30Z,2025-03-20T14:10:02Z,,cc0-1.0,30,30,30,19340
swift-algorithm-club,kodecocodes/swift-algorithm-club,29013,5003,29013,61,14083,1,1,1,0,0,2016-01-26T17:56:12Z,2025-05-03T20:12:24Z,2024-12-06T07:03:07Z,Swift,mit,30,30,30,14306
hey,heyverse/hey,28999,1732,28999,5,55856,0,1,1,0,0,2022-03-19T15:01:46Z,2025-05-04T06:59:00Z,2025-05-04T06:58:57Z,TypeScript,agpl-3.0,30,2,30,1736
lighthouse,GoogleChrome/lighthouse,28959,9498,28959,610,325332,0,0,0,0,0,2016-03-08T01:03:11Z,2025-05-04T05:58:55Z,2025-05-02T19:37:35Z,JavaScript,apache-2.0,30,30,30,35504
consul,hashicorp/consul,28954,4471,28954,1305,501786,0,1,1,0,0,2013-11-04T22:15:27Z,2025-05-04T05:05:47Z,2025-05-02T08:12:11Z,Go,other,30,30,30,3635
composer,composer/composer,28953,4621,28953,144,27953,0,0,1,0,0,2011-06-08T08:53:00Z,2025-05-04T06:47:22Z,2025-04-28T20:21:42Z,PHP,mit,30,30,30,3328
anoma,anoma/anoma,28898,3833,28898,172,77472,1,1,1,0,0,2021-02-02T10:00:16Z,2025-05-04T06:27:54Z,2025-05-02T19:56:21Z,Elixir,mit,30,15,30,6078
python-guide,realpython/python-guide,28887,5866,28887,116,6901,1,1,1,0,0,2011-03-15T03:24:20Z,2025-05-04T06:03:09Z,2024-07-29T18:49:10Z,Batchfile,other,30,30,30,1184
awesome-sysadmin,awesome-foss/awesome-sysadmin,28879,1688,28879,39,1350,0,0,1,0,0,2014-12-23T08:41:22Z,2025-05-04T07:40:00Z,2025-04-21T16:55:35Z,,other,30,30,30,72233
filebrowser,filebrowser/filebrowser,28852,3246,28852,95,20457,0,0,1,0,0,2015-09-11T21:21:58Z,2025-05-04T02:56:28Z,2025-04-30T18:48:37Z,Go,apache-2.0,30,30,30,2435
duckdb,duckdb/duckdb,28844,2264,28844,450,341811,0,1,1,0,0,2018-06-26T15:04:45Z,2025-05-04T06:48:15Z,2025-05-03T22:00:19Z,C++,mit,30,30,30,3397
diffusers,huggingface/diffusers,28839,5922,28839,684,68924,1,1,1,0,0,2022-05-30T16:04:02Z,2025-05-04T04:32:17Z,2025-05-03T18:30:07Z,Python,apache-2.0,30,30,30,14533
CLIP,openai/CLIP,28789,3574,28789,245,9140,0,0,1,0,0,2020-12-16T11:24:42Z,2025-05-04T05:37:27Z,2024-07-23T01:30:44Z,Jupyter Notebook,mit,30,21,30,7306
DevToys,DevToys-app/DevToys,28788,1551,28788,249,229034,0,0,1,0,0,2021-09-29T01:40:41Z,2025-05-04T04:53:18Z,2025-04-18T22:00:40Z,C#,mit,30,30,30,2346
medusa,medusajs/medusa,28782,3226,28782,146,521732,1,1,1,0,0,2020-01-18T13:39:04Z,2025-05-04T07:29:23Z,2025-05-03T16:00:17Z,TypeScript,mit,30,30,30,3382
todomvc,tastejs/todomvc,28778,13751,28778,166,76889,1,0,1,0,0,2011-06-03T19:56:33Z,2025-05-04T05:40:08Z,2024-12-27T04:17:02Z,JavaScript,other,30,30,30,5776
postcss,postcss/postcss,28772,1580,28772,27,10742,1,0,1,0,0,2013-09-24T23:06:48Z,2025-05-04T07:07:42Z,2025-04-26T20:48:46Z,TypeScript,mit,30,30,30,17908
